,Teamname,Tournament,Username
412,Chicago Wildfire,AUDL 2014,Ron K
413,Chicago Wildfire,AUDL 2015,Rory
414,Chicago Wildfire,AUDL 2018,Ross
415,Chicago Wildfire,AUDL 2015,Roush
416,Chicago Wildfire,AUDL 2017,Rummel
417,Chicago Wildfire,AUDL 2014,Sheehan
418,Chicago Wildfire,AUDL 2015,Sheehan
419,Chicago Wildfire,AUDL 2016,Sheehan
420,Chicago Wildfire,AUDL 2016,Shey
421,Chicago Wildfire,AUDL 2017,Shey
422,Chicago Wildfire,AUDL 2015,Shiel
423,Chicago Wildfire,AUDL 2016,Shiel
424,Chicago Wildfire,AUDL 2015,Silver
425,Chicago Wildfire,AUDL 2018,Simon
426,Chicago Wildfire,AUDL 2016,Simpson
427,Chicago Wildfire,AUDL 2015,Slymer
428,Chicago Wildfire,AUDL 2018,Slymer
429,Chicago Wildfire,AUDL 2014,Slymer E
430,Chicago Wildfire,AUDL 2014,Stepha M
431,Chicago Wildfire,AUDL 2016,Stogdon
432,Chicago Wildfire,AUDL 2016,Sykora
433,Chicago Wildfire,AUDL 2017,Sykora
434,Chicago Wildfire,AUDL 2014,Taylor K
435,Chicago Wildfire,AUDL 2014,Tim Ferg
436,Chicago Wildfire,AUDL 2018,Tommy
437,Chicago Wildfire,AUDL 2017,Trotter
438,Chicago Wildfire,AUDL 2015,Uber
439,Chicago Wildfire,AUDL 2016,Uber
440,Chicago Wildfire,AUDL 2017,Uber
441,Chicago Wildfire,AUDL 2018,Uber
442,Chicago Wildfire,AUDL 2015,Vock
443,Chicago Wildfire,AUDL 2016,Vock
444,Chicago Wildfire,AUDL 2017,Vock
445,Chicago Wildfire,AUDL 2018,Vock
446,Chicago Wildfire,AUDL 2015,Von
447,Chicago Wildfire,AUDL 2016,Von
448,Chicago Wildfire,AUDL 2017,Von
449,Chicago Wildfire,AUDL 2014,Von A
450,Chicago Wildfire,AUDL 2014,Walden N
451,Chicago Wildfire,AUDL 2017,Weis
452,Chicago Wildfire,AUDL 2018,Wets
453,Chicago Wildfire,AUDL 2016,Williams
454,Chicago Wildfire,AUDL 2016,Woods
455,Chicago Wildfire,AUDL 2017,Woods
456,Chicago Wildfire,AUDL 2016,Wormley
457,Chicago Wildfire,AUDL 2014,Xtehn Ti
458,Chicago Wildfire,AUDL 2016,Yiding
459,Chicago Wildfire,AUDL 2016,Young
460,Chicago Wildfire,AUDL 2016,Zeman
461,Chicago Wildfire,AUDL 2017,Zeman
462,Chicago Wildfire,AUDL 2018,Zeman
463,Chicago Wildfire,AUDL 2017,Zhao
464,Chicago Wildfire,AUDL 2015,Zubair
465,Cincinnati Revolution,AUDL 2014,Aaron Ba
466,Cincinnati Revolution,AUDL 2014,Aaron Co
467,Cincinnati Revolution,AUDL 2016,Adam T
468,Cincinnati Revolution,AUDL 2014,Alan Hue
469,Cincinnati Revolution,AUDL 2016,Alec M
470,Cincinnati Revolution,AUDL 2016,Andrew K
471,Cincinnati Revolution,AUDL 2014,Ben Blat
472,Cincinnati Revolution,AUDL 2014,Ben Jans
473,Cincinnati Revolution,AUDL 2016,Ben S
474,Cincinnati Revolution,AUDL 2014,Ben Seve
475,Cincinnati Revolution,AUDL 2015,Bisson N
476,Cincinnati Revolution,AUDL 2015,Brinkm E
477,Cincinnati Revolution,AUDL 2016,Bryan W
478,Cincinnati Revolution,AUDL 2016,CJ O
479,Cincinnati Revolution,AUDL 2016,CJ O'B
480,Cincinnati Revolution,AUDL 2015,Carrol K
481,Cincinnati Revolution,AUDL 2014,Chris Po
482,Cincinnati Revolution,AUDL 2016,Cody
483,Cincinnati Revolution,AUDL 2016,Colin C
484,Cincinnati Revolution,AUDL 2016,Colin G
485,Cincinnati Revolution,AUDL 2014,Connor H
486,Cincinnati Revolution,AUDL 2016,Corey H
487,Cincinnati Revolution,AUDL 2015,Dan Latz
488,Cincinnati Revolution,AUDL 2016,Dan S
489,Cincinnati Revolution,AUDL 2016,Danny K
490,Cincinnati Revolution,AUDL 2014,Danny Sh
491,Cincinnati Revolution,AUDL 2016,David V
492,Cincinnati Revolution,AUDL 2015,Dinan
493,Cincinnati Revolution,AUDL 2016,Eddie M
494,Cincinnati Revolution,AUDL 2014,Eddie Ma
495,Cincinnati Revolution,AUDL 2015,Elder D
496,Cincinnati Revolution,AUDL 2014,Eric Con
497,Cincinnati Revolution,AUDL 2015,Fox Cody
498,Cincinnati Revolution,AUDL 2015,Grand C
499,Cincinnati Revolution,AUDL 2015,Graves D
500,Cincinnati Revolution,AUDL 2015,Greg
501,Cincinnati Revolution,AUDL 2016,Gus M
502,Cincinnati Revolution,AUDL 2015,Harde C
503,Cincinnati Revolution,AUDL 2015,Huffer W
504,Cincinnati Revolution,AUDL 2016,Ian C
505,Cincinnati Revolution,AUDL 2016,Isaac J
506,Cincinnati Revolution,AUDL 2014,Isaac Je
507,Cincinnati Revolution,AUDL 2015,Jansen B
508,Cincinnati Revolution,AUDL 2014,Jeff Kul
509,Cincinnati Revolution,AUDL 2015,Jeffer I
510,Cincinnati Revolution,AUDL 2016,Joe M
511,Cincinnati Revolution,AUDL 2014,Joe Molz
512,Cincinnati Revolution,AUDL 2014,John Sie
513,Cincinnati Revolution,AUDL 2016,Jon R
514,Cincinnati Revolution,AUDL 2014,Jordan R
515,Cincinnati Revolution,AUDL 2016,Josh F
516,Cincinnati Revolution,AUDL 2014,Kane Ols
517,Cincinnati Revolution,AUDL 2015,Kaylor Z
518,Cincinnati Revolution,AUDL 2016,Keegan N
519,Cincinnati Revolution,AUDL 2015,Kelly K
520,Cincinnati Revolution,AUDL 2016,Kendrick
521,Cincinnati Revolution,AUDL 2014,Kevin Ba
522,Cincinnati Revolution,AUDL 2014,Kevin Ku
523,Cincinnati Revolution,AUDL 2016,Kyle R
524,Cincinnati Revolution,AUDL 2015,Kyle Rom
525,Cincinnati Revolution,AUDL 2015,Landis T
526,Cincinnati Revolution,AUDL 2015,Latz J
527,Cincinnati Revolution,AUDL 2015,Mack Ed
528,Cincinnati Revolution,AUDL 2014,Mark Fed
529,Cincinnati Revolution,AUDL 2016,Matt D
530,Cincinnati Revolution,AUDL 2014,Matt Muh
531,Cincinnati Revolution,AUDL 2015,Mccart C
532,Cincinnati Revolution,AUDL 2014,Mike Ame
533,Cincinnati Revolution,AUDL 2014,Mike For
534,Cincinnati Revolution,AUDL 2015,Misleh G
535,Cincinnati Revolution,AUDL 2015,Moore S
536,Cincinnati Revolution,AUDL 2014,Nate Bot
537,Cincinnati Revolution,AUDL 2014,Neil Nar
538,Cincinnati Revolution,AUDL 2014,Nick Bis
539,Cincinnati Revolution,AUDL 2016,Nick W
540,Cincinnati Revolution,AUDL 2014,Nick Wet
541,Cincinnati Revolution,AUDL 2015,North K
542,Cincinnati Revolution,AUDL 2014,Patrick
543,Cincinnati Revolution,AUDL 2014,Phil Che
544,Cincinnati Revolution,AUDL 2014,Rob Whar
545,Cincinnati Revolution,AUDL 2016,Russ A
546,Cincinnati Revolution,AUDL 2016,Russ All
547,Cincinnati Revolution,AUDL 2016,Ryan G
548,Cincinnati Revolution,AUDL 2015,Sage
549,Cincinnati Revolution,AUDL 2015,Sage Ben
550,Cincinnati Revolution,AUDL 2016,Sam S
551,Cincinnati Revolution,AUDL 2015,Schrin S
552,Cincinnati Revolution,AUDL 2015,Settle T
553,Cincinnati Revolution,AUDL 2016,Soph L
554,Cincinnati Revolution,AUDL 2015,T Phil
555,Cincinnati Revolution,AUDL 2016,Ted L
556,Cincinnati Revolution,AUDL 2016,Tim S
557,Cincinnati Revolution,AUDL 2014,Tim Sett
558,Cincinnati Revolution,AUDL 2014,Todd Cha
559,Cincinnati Revolution,AUDL 2014,Todd Gra
560,Cincinnati Revolution,AUDL 2014,Travis K
561,Cincinnati Revolution,AUDL 2015,Wetzel N
