,Teamname,Name,FirstName,LastName
357,New York Empire,Alexander Isik,Alexander,Isik
358,New York Empire,Mike Drost,Mike,Drost
359,New York Empire,Matt Stevens,Matt,Stevens
360,New York Empire,Ryan Holmes,Ryan,Holmes
361,New York Empire,Harper Garvey,Harper,Garvey
362,New York Empire,Albert Alarcon,Albert,Alarcon
363,New York Empire,Ben Katz,Ben,Katz
364,New York Empire,Sam Feder,Sam,Feder
365,New York Empire,Zach Grappone,Zach,Grappone
366,New York Empire,Tristan Yarter,Tristan,Yarter
367,New York Empire,Beau Kittredge,Beau,Kittredge
368,New York Empire,Matt Weintraub,Matt,Weintraub
369,New York Empire,Jibran Mieser,Jibran,Mieser
370,New York Empire,Ben Jagt,Ben,Jagt
371,New York Empire,Ryan Brown,Ryan,Brown
372,New York Empire,Ryan Drost,Ryan,Drost
373,New York Empire,Marques Brownlee,Marques,Brownlee
374,New York Empire,Jeff Babbitt,Jeff,Babbitt
375,New York Empire,Kyle Dew,Kyle,Dew
376,Ottawa Outlaws,Erich Phang-Lynn,Erich,Phang-Lynn
377,Ottawa Outlaws,Paul Mensah,Paul,Mensah
378,Ottawa Outlaws,Karl Loiseau,Karl,Loiseau
379,Ottawa Outlaws,Derek Alexander,Derek,Alexander
380,Ottawa Outlaws,Ken Alexander,Ken,Alexander
381,Ottawa Outlaws,Matt O'Brien,Matt,O'Brien
382,Ottawa Outlaws,Shintaro Tsukamoto,Shintaro,Tsukamoto
383,Ottawa Outlaws,Ryan Wallace,Ryan,Wallace
384,Ottawa Outlaws,Chad McCausland,Chad,McCausland
385,Ottawa Outlaws,Paul Renaud,Paul,Renaud
386,Ottawa Outlaws,Colin Froats,Colin,Froats
387,Ottawa Outlaws,Alec Arsenault,Alec,Arsenault
388,Ottawa Outlaws,Braedan Robinson,Braedan,Robinson
389,Ottawa Outlaws,Erik Hunter,Erik,Hunter
390,Ottawa Outlaws,Carson Turner,Carson,Turner
391,Ottawa Outlaws,Greg Ellis,Greg,Ellis
392,Ottawa Outlaws,Jon Hallett,Jon,Hallett
393,Ottawa Outlaws,David Colic,David,Colic
394,Ottawa Outlaws,Andrew Ouchterlony,Andrew,Ouchterlony
395,Ottawa Outlaws,Adam O'Donnell,Adam,O'Donnell
396,Ottawa Outlaws,Geoff Bevan,Geoff,Bevan
397,Ottawa Outlaws,Kyle Cantal,Kyle,Cantal
398,Ottawa Outlaws,Nick Boucher,Nick,Boucher
399,Ottawa Outlaws,Jeremy Hill,Jeremy,Hill
400,Philadelphia Phoenix,Dustin Damiano,Dustin,Damiano
401,Philadelphia Phoenix,Brandon Pastor,Brandon,Pastor
402,Philadelphia Phoenix,Shashank Alladi,Shashank,Alladi
403,Philadelphia Phoenix,Austin Lillis,Austin,Lillis
404,Philadelphia Phoenix,Greg Martin,Greg,Martin
405,Philadelphia Phoenix,Mike Campanella,Mike,Campanella
406,Philadelphia Phoenix,Nick Patel,Nick,Patel
407,Philadelphia Phoenix,Ethan Fortin,Ethan,Fortin
408,Philadelphia Phoenix,Himalaya Mehta,Himalaya,Mehta
409,Philadelphia Phoenix,Matt Esser,Matt,Esser
410,Philadelphia Phoenix,Scott Xu,Scott,Xu
411,Philadelphia Phoenix,Zac Sands,Zac,Sands
412,Philadelphia Phoenix,Stuart Hean,Stuart,Hean
413,Philadelphia Phoenix,Jordan Ciccarone,Jordan,Ciccarone
414,Philadelphia Phoenix,James Pollard,James,Pollard
415,Philadelphia Phoenix,Billy Sickles,Billy,Sickles
416,Philadelphia Phoenix,David Baer,David,Baer
417,Philadelphia Phoenix,Francisco Gomez,Francisco,Gomez
418,Philadelphia Phoenix,Mike Arcata,Mike,Arcata
419,Philadelphia Phoenix,Allan Michel,Allan,Michel
420,Philadelphia Phoenix,Ethan Peck,Ethan,Peck
421,Philadelphia Phoenix,Trey Katzenbach,Trey,Katzenbach
422,Philadelphia Phoenix,Colin Masino,Colin,Masino
423,Philadelphia Phoenix,Brice Dunn,Brice,Dunn
424,Philadelphia Phoenix,Marc Sands,Marc,Sands
425,Philadelphia Phoenix,Matthew Ballman,Matthew,Ballman
426,Philadelphia Phoenix,Ryan Weaver,Ryan,Weaver
427,Philadelphia Phoenix,Evan Karson,Evan,Karson
428,Philadelphia Phoenix,Peter Burt,Peter,Burt
429,Philadelphia Phoenix,Patrick Diviney,Patrick,Diviney
430,Philadelphia Phoenix,Sean Mott,Sean,Mott
431,Philadelphia Phoenix,Eric Nardelli,Eric,Nardelli
432,Pittsburgh Thunderbirds,Max Sheppard,Max,Sheppard
433,Pittsburgh Thunderbirds,Jon Mast,Jon,Mast
434,Pittsburgh Thunderbirds,Dayne Meyer,Dayne,Meyer
435,Pittsburgh Thunderbirds,David Vatz,David,Vatz
436,Pittsburgh Thunderbirds,Anson Reppermund,Anson,Reppermund
437,Pittsburgh Thunderbirds,Mark Fedorenko,Mark,Fedorenko
438,Pittsburgh Thunderbirds,Thomas Edmonds,Thomas,Edmonds
439,Pittsburgh Thunderbirds,Patrick McMullen,Patrick,McMullen
440,Pittsburgh Thunderbirds,Adam Burgess,Adam,Burgess
441,Pittsburgh Thunderbirds,Kenny Furdella,Kenny,Furdella
442,Pittsburgh Thunderbirds,Dylan Best,Dylan,Best
443,Pittsburgh Thunderbirds,Kevin Hartley,Kevin,Hartley
444,Pittsburgh Thunderbirds,Jordan Robarge,Jordan,Robarge
445,Pittsburgh Thunderbirds,Noah Robinson,Noah,Robinson
446,Pittsburgh Thunderbirds,Owen Watt,Owen,Watt
447,Pittsburgh Thunderbirds,Jack Hefferon,Jack,Hefferon
448,Pittsburgh Thunderbirds,Alex Thomas,Alex,Thomas
449,Pittsburgh Thunderbirds,Steve Mogielski,Steve,Mogielski
450,Pittsburgh Thunderbirds,Jimmy Towle,Jimmy,Towle
451,Pittsburgh Thunderbirds,Myles Cooper,Myles,Cooper
452,Pittsburgh Thunderbirds,Chris Graber,Chris,Graber
453,Pittsburgh Thunderbirds,Nick Gigliotti,Nick,Gigliotti
454,Pittsburgh Thunderbirds,Robert Halvorsen,Robert,Halvorsen
455,Pittsburgh Thunderbirds,Mohamadou Diatta,Mohamadou,Diatta
456,Pittsburgh Thunderbirds,Steve May,Steve,May
457,Pittsburgh Thunderbirds,Sam VanDusen,Sam,VanDusen
458,Pittsburgh Thunderbirds,John Buss,John,Buss
459,Raleigh Flyers,Vikram Sethuraman,Vikram,Sethuraman
460,Raleigh Flyers,Justin Allen,Justin,Allen
461,Raleigh Flyers,Sol Yanuck,Sol,Yanuck
462,Raleigh Flyers,Jakeem Polk,Jakeem,Polk
463,Raleigh Flyers,J.D. Hastings,J.D.,Hastings
